,0,1,2,3
219,@tim_cook,2021-11-10 01:27:54+00:00,https://twitter.com/tim_cook/status/1458244993953394702,@Malala @malinfezehai Congratulations to you and Asser! Wishing you all the best as you begin your new life together.
220,@tim_cook,2021-11-04 01:45:55+00:00,https://twitter.com/tim_cook/status/1456075201276383236,Wishing a happy and safe Diwali to all those celebrating around the world. May the Festival of Lights fill your home with happiness and health. Stunning #ShotOniPhone13ProMax photos by @coffeekarma. https://t.co/09O2GkMcMN
221,@tim_cook,2021-11-03 02:30:55+00:00,https://twitter.com/tim_cook/status/1455724138656452612,Apple is joining the First Movers Coalition that will help advance a greener future and a healthier and more equitable world. There has never been a more urgent time to come together in the fight for our planet. #COP26
222,@tim_cook,2021-10-31 20:50:39+00:00,https://twitter.com/tim_cook/status/1454913732178427909,"Happy Halloween! Pretty great costume, @MrsKylieCurtis! What do you think, @TedLasso?"
223,@tim_cook,2021-10-30 00:53:05+00:00,https://twitter.com/tim_cook/status/1454249966629580800,@Canoopsy Amazing wallpaper! 👏
224,@tim_cook,2021-10-27 16:52:42+00:00,https://twitter.com/tim_cook/status/1453404300189732869,"At Apple, we’re carbon neutral across our operations &amp; our goal is to be carbon neutral across our entire supply chain by 2030. In the past year, we’ve more than doubled the number of suppliers committed to 100% clean energy. The planet is counting on us. https://t.co/SIPzFqfqx4"
225,@tim_cook,2021-10-22 15:53:43+00:00,https://twitter.com/tim_cook/status/1451577515294683142,"Introducing Apple Bağdat Caddesi, our beautiful new store in Istanbul. We’re glad to be a part of this vibrant community and we can't wait to welcome customers to this spectacular new space. https://t.co/BtJiGDAeqq"
226,@tim_cook,2021-10-18 18:47:36+00:00,https://twitter.com/tim_cook/status/1450171724775837698,Introducing the groundbreaking and completely reimagined 14- and 16-inch MacBook Pro – our most powerful notebook ever. 💻 https://t.co/OehZw8QqQB
227,@tim_cook,2021-10-18 14:20:00+00:00,https://twitter.com/tim_cook/status/1450104379009241089,Good morning! ☀️ The big day is here. See you in just a few hours. #AppleEvent https://t.co/k5ekfTDrvN
228,@tim_cook,2021-10-13 22:07:54+00:00,https://twitter.com/tim_cook/status/1448410192689827842,"Met with some of the great developers in Utah’s growing tech community. Their apps &amp; games, like @RedGamesCo and @Ancestry, are bringing families together. And @Instructure, @ResusciTech, and so many more are solving challenges in important fields like education and health. https://t.co/HDpDyidsib"
229,@tim_cook,2021-10-13 21:16:43+00:00,https://twitter.com/tim_cook/status/1448397312242302979,Stopped by Apple City Creek Center this morning to spend time with our customers and team members. Thanks for an awesome visit! https://t.co/HG8aUy11bF
230,@tim_cook,2021-10-13 16:23:52+00:00,https://twitter.com/tim_cook/status/1448323612125982723,"Proud to support @encircle2gether’s life-saving work providing resources to LGBTQ+ youth in Utah &amp; surrounding states. Great to be with @GovCox, @AbbyPalmerCox, @RyanQualtrics, Ashley Smith, @DwyaneWade, and @stephylarsen as we celebrate the opening of Encircle’s first cafe. https://t.co/E6nN23Uc4m"
231,@tim_cook,2021-10-11 17:57:03+00:00,https://twitter.com/tim_cook/status/1447622285947379714,"This Indigenous Peoples’ Day, we recognize the many native communities whose rich histories and cultures should be celebrated and honored."
232,@tim_cook,2021-10-10 18:24:43+00:00,https://twitter.com/tim_cook/status/1447266860030783490,Taking care of your mental health is critically important. This #WorldMentalHealthDay is a reminder to us all about the importance of prioritizing our emotional well-being and finding meaningful ways to unwind and refuel.
233,@tim_cook,2021-10-08 15:02:23+00:00,https://twitter.com/tim_cook/status/1446491168909389825,"Thrilled to welcome the first-ever Apple Developer Academy class in Detroit! Motor City has an incredible entrepreneurial spirit, and is home to a thriving and diverse developer community. We can’t wait to see how these innovators change the world!"
234,@tim_cook,2021-10-05 12:00:00+00:00,https://twitter.com/tim_cook/status/1445358107157221379,“People with passion can change the world for the better.”— SJ. Hard to believe it’s been 10 years. Celebrating you today and always. https://t.co/x2IUnlO7ta
235,@tim_cook,2021-10-01 17:39:39+00:00,https://twitter.com/tim_cook/status/1443994028303859716,Great catching up with @Naomi_NYC and @Marahml to hear about how they're using @TheShineApp to fight stigmas surrounding mental health issues. It’s another powerful example of how technology can be used to help improve people’s lives. https://t.co/QQLn7Kq717
236,@tim_cook,2021-10-01 16:43:33+00:00,https://twitter.com/tim_cook/status/1443979910641487877,"Really enjoyed the “INWARD” exhibit at @ICPhotog earlier today. Such a beautiful display of moving photography, and all captured on iPhone! https://t.co/cymaM0aobk"
237,@tim_cook,2021-10-01 15:07:22+00:00,https://twitter.com/tim_cook/status/1443955704637833234,"Good morning Apple SoHo! 👋 Great to feel the excitement and energy, from team members and customers alike! https://t.co/frOZVgvbMa"
238,@tim_cook,2021-09-26 00:42:44+00:00,https://twitter.com/tim_cook/status/1441926175056490498,Apple retail is officially in all five boroughs — glad to open our new store in the Bronx. https://t.co/wo8eYJfg6v
239,@tim_cook,2021-09-24 22:55:03+00:00,https://twitter.com/tim_cook/status/1441536687679545347,"The iPhone 13 lineup, iPad, and iPad mini are here! We can’t wait to see all the ways our customers will use them. https://t.co/AYVSkolWuT"
240,@tim_cook,2021-09-23 12:25:32+00:00,https://twitter.com/tim_cook/status/1441015876388462596,Congratulations to @AFB1921 for marking 100 years of working to create a world with no limits for blind and low vision communities. Apple is proud to share your mission of building a more accessible and inclusive society for all.
241,@tim_cook,2021-09-23 03:41:52+00:00,https://twitter.com/tim_cook/status/1440884090006237185,.@AustinMann is such an extraordinary talent. Love these incredible photos and videos #ShotOniPhone13Pro!
242,@tim_cook,2021-09-21 18:26:14+00:00,https://twitter.com/tim_cook/status/1440381873146916864,"Each day, we’re reminded that the fight for our planet isn't waiting—and neither are we. This Climate Week, @lisapjackson joined @ClimateEnvoy John Kerry because business and government leadership go hand in hand in building a cleaner, greener future for all. #ClimateWeekNYC"
243,@tim_cook,2021-09-20 12:21:03+00:00,https://twitter.com/tim_cook/status/1439927583131328519,Congratulations to the cast and crew of @TedLasso on their remarkable Emmy wins including Outstanding Comedy Series! Believe! 👏
244,@tim_cook,2021-09-17 19:23:23+00:00,https://twitter.com/tim_cook/status/1438946706989608961,One of my all-time favorite shows is back! Catch #TheMorningShow season 2 on AppleTV+.
245,@tim_cook,2021-09-15 21:18:12+00:00,https://twitter.com/tim_cook/status/1438250826024194049,Always great to chat with you @iJustine! So glad you love yesterday’s announcements as much as we do.
246,@tim_cook,2021-09-14 22:03:49+00:00,https://twitter.com/tim_cook/status/1437899916005691392,"Introducing iPhone 13 and iPhone 13 Pro, all-new iPad mini, Apple Watch Series 7, and so much more! Check out the highlights from today’s #AppleEvent. https://t.co/2Vas3M4NB4"
247,@tim_cook,2021-09-14 14:00:05+00:00,https://twitter.com/tim_cook/status/1437778181885505539,Good morning from somewhere a little different this time. We’re California streaming in 3 hours! See you soon. 👀 #AppleEvent https://t.co/C5V5hiel8F
248,@tim_cook,2021-09-11 14:15:41+00:00,https://twitter.com/tim_cook/status/1436694941623672833,"20 years ago, we were irrevocably changed. We’ll never forget those we lost or the heroic efforts of first responders and everyday Americans on that terrible day. Nor will we forget the sacrifices of those who were called to service in the months and years that followed."
249,@tim_cook,2021-09-06 15:17:48+00:00,https://twitter.com/tim_cook/status/1434898635922104322,This Labor Day we honor and recognize all those whose work and imagination fuels the innovations of tomorrow.
250,@tim_cook,2021-08-31 18:41:25+00:00,https://twitter.com/tim_cook/status/1432775549626109952,"Proud to support tomorrow’s leaders with $30M in new commitments to HSIs, HBCUs, and social, criminal and environmental justice groups. https://t.co/cW1rGDcGDv"
251,@tim_cook,2021-08-30 14:36:19+00:00,https://twitter.com/tim_cook/status/1432351482720894978,"Our thoughts are with everyone in Hurricane Ida’s path, especially those sheltering in Louisiana, and we’re grateful for the first responders who are helping keep communities safe. Apple will be donating to relief and recovery efforts on the ground."
252,@tim_cook,2021-08-26 02:16:43+00:00,https://twitter.com/tim_cook/status/1430715802576109572,I am profoundly grateful for the time I’ve spent in America’s National Parks throughout my life. Happy 105th Birthday @NatlParkService and thank you for safeguarding these precious spaces.
253,@tim_cook,2021-08-20 17:35:29+00:00,https://twitter.com/tim_cook/status/1428772689821437953,"Paralympic gold medalist @kurtfearnley’s episode of Time to Walk or Push on Fitness+ teaches us about the power of community and the role we play in each other's lives. As Kurt says, we've got the keys to lift up others, we just have to share them. https://t.co/4Zwt9lxD9c https://t.co/GuHlZ8fFbq"
254,@tim_cook,2021-08-20 01:42:52+00:00,https://twitter.com/tim_cook/status/1428532956641910792,Love these striking images from @Aundrelarrow! #ShotOniPhone #WorldPhotographyDay
255,@tim_cook,2021-08-19 15:00:57+00:00,https://twitter.com/tim_cook/status/1428371412431953920,"Thank you @EPAMichaelRegan and @Lisapjackson for your incredible example of environmental leadership and innovation. If we act together and act with urgency, we can meet the challenge of climate change — and build a more equitable and sustainable world."
256,@tim_cook,2021-08-17 20:48:42+00:00,https://twitter.com/tim_cook/status/1427734149922639874,"Apple’s Impact Accelerator supports the urgent environmental work of innovative businesses. We’re proud to help expand the work of these Black, Latinx &amp; Indigenous-owned companies to create a greener, cleaner future for all. https://t.co/I8AVuwnJBE"
257,@tim_cook,2021-08-15 13:55:35+00:00,https://twitter.com/tim_cook/status/1426905412779974657,Our hearts are with all those in Haiti who are once again facing the consequences of a devastating earthquake. Apple will be donating to assist relief and recovery efforts in the affected communities.
258,@tim_cook,2021-08-14 00:46:21+00:00,https://twitter.com/tim_cook/status/1426344406555103232,We hope you love this remarkable and heartfelt story as much as we do!
259,@tim_cook,2021-08-03 15:50:25+00:00,https://twitter.com/tim_cook/status/1422585655343796229,"This school year, many students will be able to go contactless with student IDs in Wallet on iPhone and Apple Watch – including my undergraduate alma mater @AuburnU! #WarEagle https://t.co/2w36aCTqjf"
260,@tim_cook,2021-07-29 22:12:49+00:00,https://twitter.com/tim_cook/status/1420869950692937729,"Our Apple family includes hundreds of Dreamers. They deserve a clear path to citizenship, and I’m proud to join many leaders in affirming our support for this important legislation."
261,@tim_cook,2021-07-28 21:42:15+00:00,https://twitter.com/tim_cook/status/1420499871656644609,Love seeing how educators in Australia are using Swift to teach the next generation of app developers! https://t.co/hqcSdAs986
262,@tim_cook,2021-07-26 22:32:46+00:00,https://twitter.com/tim_cook/status/1419787808084955143,"At Apple, we are committed to creating technology for everyone. As we mark the 31st anniversary of the Americans with Disabilities Act, it’s important we make real the promise of a just and equal society for all Americans."
263,@tim_cook,2021-07-23 23:47:05+00:00,https://twitter.com/tim_cook/status/1418719348911263745,"During a year unlike any other, photographers found creative ways to capture the beauty around them. Love the breathtaking images from this year’s @ippawards winners! #ShotOniPhone https://t.co/brjcBQMycT https://t.co/K2Y69hWifI"
264,@tim_cook,2021-07-23 15:16:09+00:00,https://twitter.com/tim_cook/status/1418590764741763084,"To the coach who teaches us all to be kind, optimistic and, of course, a goldfish: welcome back! ⚽️"
265,@tim_cook,2021-07-22 05:05:54+00:00,https://twitter.com/tim_cook/status/1418074803630579714,"We’re celebrating 40 years in Singapore — what began with an Apple II facility at Ang Mo Kio has now grown to 3,500 team members, and beyond. We’re proud to be a part of the community there and look forward to many more years to come! https://t.co/z5ji08KJk1"
266,@tim_cook,2021-07-16 22:10:14+00:00,https://twitter.com/tim_cook/status/1416158259451359232,"Our hearts are with all those affected by the devastating flooding across Germany, Belgium and Western Europe. Apple will be donating to support relief efforts."
267,@tim_cook,2021-07-15 00:38:20+00:00,https://twitter.com/tim_cook/status/1415470754099912707,"Proud to be supporting @DSTNHome, @HousingTrustSV &amp; @CalHFA’s efforts to ensure there is affordable housing across California — they are making a tremendous impact in our communities."
268,@tim_cook,2021-07-04 14:07:05+00:00,https://twitter.com/tim_cook/status/1411688013860462594,Happy Birthday America! Hope everyone has a safe and happy #4thofJuly!
269,@tim_cook,2021-06-28 15:18:11+00:00,https://twitter.com/tim_cook/status/1409531580482084864,"Pride is about celebrating the power of equity, inclusion and diversity — because humanity is at its best when everyone is able to speak and live their truth. #Pride2021"
270,@tim_cook,2021-06-24 23:33:34+00:00,https://twitter.com/tim_cook/status/1408206699215745027,"We’re proud to work with groups like @CreateNow, who are bringing amazing opportunities to kids who don’t get them often enough. From music to painting and graphic design, loved seeing what these gifted and passionate young artists are creating! https://t.co/NZJBE2CnAN"
271,@tim_cook,2021-06-24 20:42:11+00:00,https://twitter.com/tim_cook/status/1408163567518453761,Today we opened the doors to our new store in downtown LA — Apple Tower Theatre. It’s a testament to a city rich in culture and diversity. We’re so excited to be a part of DTLA! https://t.co/l4UQmZQ5x4
272,@tim_cook,2021-06-20 14:32:57+00:00,https://twitter.com/tim_cook/status/1406621096351178760,"Thank you to all the dads in our Apple family and around the world, including my own, for your love, strength and support during this very challenging year. Happy Father’s Day! ❤️"
273,@tim_cook,2021-06-19 12:12:43+00:00,https://twitter.com/tim_cook/status/1406223418207326214,"Juneteenth is part of the story of America. We must never forget the Black men and women to whom true freedom was denied for far too long. It is imperative that we honor them by educating ourselves and each other, working together toward a more fair, just and equal future."
274,@tim_cook,2021-06-08 02:13:42+00:00,https://twitter.com/tim_cook/status/1402086403811405835,Today we introduced new privacy protections to help users have more transparency and control over what happens with their information. https://t.co/wdBWKcYJ0I
275,@tim_cook,2021-06-08 00:18:05+00:00,https://twitter.com/tim_cook/status/1402057304510369803,One of my favorite parts of WWDC each year is meeting some of the outstanding Swift Student Challenge winners. I applaud you for all you've accomplished at a young age &amp; I'm amazed at how you think through your passions and ideas so deeply. You’re already changing the world. 💪 https://t.co/qgjCVniuWE
276,@tim_cook,2021-06-07 14:37:01+00:00,https://twitter.com/tim_cook/status/1401911077697245191,Today’s the day! Who’s ready? #WWDC21 https://t.co/oRlL8Z85X8
277,@tim_cook,2021-06-05 17:42:40+00:00,https://twitter.com/tim_cook/status/1401233019772432390,Apple is committed to leaving the world better than we found it &amp; protecting it for future generations. Proud to support projects like @ConservationOrg's efforts to reduce carbon &amp; protect the wildlife of Kenya’s Chyulu Hills. #WorldEnvironmentDay https://t.co/2BJUCR542d https://t.co/q496PkF2sG
278,@tim_cook,2021-06-03 18:45:20+00:00,https://twitter.com/tim_cook/status/1400524016222306305,We’re all so moved by the way you inspire and encourage millions with your deep care for education and equity. ❤️
279,@tim_cook,2021-06-02 00:26:53+00:00,https://twitter.com/tim_cook/status/1399885193335361537,"Among this year’s WWDC Swift Student Challenge winners are some exceptional young women who are using the power of code to solve problems in their communities, and passing on their superpowers to the next generation. https://t.co/vBX8YZMm3W"
280,@tim_cook,2021-05-31 14:15:48+00:00,https://twitter.com/tim_cook/status/1399369022760644613,"Today we remember and honor the brave women and men, and the families they left behind, who made the ultimate sacrifice to protect this nation. To simply say we are thankful will never be enough — we are forever indebted to you. #MemorialDay"
281,@tim_cook,2021-05-27 22:08:49+00:00,https://twitter.com/tim_cook/status/1398038509286400001,"Roma, ci siamo! Apple Via del Corso pays homage to Rome's rich history of culture and art. We’re so thankful our customers can experience this breathtaking new store in one of Rome’s most vibrant areas! https://t.co/H6iWCgPpce"
282,@tim_cook,2021-05-20 00:56:46+00:00,https://twitter.com/tim_cook/status/1395181670924312577,"20 years ago today, we opened our first Apple retail stores. Each time I visit one of our stores around the world, I feel the special energy of our teams, the creativity of our customers and how our products empower them to change the world. Here’s to the next 20 years! https://t.co/d0xhGyI3Tt"
283,@tim_cook,2021-05-19 17:52:29+00:00,https://twitter.com/tim_cook/status/1395074896791674885,"We believe everyone should have the tools they need to change the world. Accessibility is a fundamental right, and we’re always pushing the boundaries of innovation so that everyone can learn, create and connect in new ways. #GAAD https://t.co/oZwQNG7p5x"
284,@tim_cook,2021-05-17 19:28:13+00:00,https://twitter.com/tim_cook/status/1394374212576415746,"Black, Brown and transgender activists have always been at the heart of the LGBTQ+ movement. The new Apple Watch Pride Edition Braided Solo Loop honors their legacy and reaffirms Apple's commitment to support the ongoing work toward equality. https://t.co/S1e7e4SebL"
285,@tim_cook,2021-05-13 00:47:24+00:00,https://twitter.com/tim_cook/status/1392642598926356483,"To everyone celebrating #EidAlFitr around the world, we wish you health and happiness. Eid Mubarak!"
286,@tim_cook,2021-05-12 17:52:39+00:00,https://twitter.com/tim_cook/status/1392538225948823552,This #InternationalNursesDay we honor nurses around the world for their sacrifices and selfless dedication. Thank you for everything you've done and continue to do to protect our lives and the lives of our loved ones.
287,@tim_cook,2021-05-12 14:09:06+00:00,https://twitter.com/tim_cook/status/1392481967535398914,"Our Apple Developer Academies have helped empower thousands of creators, coders and entrepreneurs around the world with skills for the jobs of tomorrow. Excited to see how future students will pursue their dreams! https://t.co/m1XZhnh8kY"
288,@tim_cook,2021-05-10 15:11:38+00:00,https://twitter.com/tim_cook/status/1391772929050832897,"Since the first iPhone, we’ve partnered with Corning in Kentucky to create the most durable glass in a smartphone. Ceramic Shield on the iPhone 12 lineup takes US innovation to new levels &amp; we’re investing across America to find the next breakthrough. https://t.co/yPQlKHjTac"
289,@tim_cook,2021-05-09 14:08:26+00:00,https://twitter.com/tim_cook/status/1391394636552310787,Wishing a very happy #MothersDay to all the mothers in our lives — your strength and compassion only shined brighter through the tough year you’ve helped us through! ❤️
290,@tim_cook,2021-05-06 18:51:05+00:00,https://twitter.com/tim_cook/status/1390378601690791938,"Advanced laser technology powers some of Apple's most popular features, like Face ID, Memoji &amp; Portrait mode. We’re expanding our work with II-VI, whose teams from Sherman, TX to Champaign, IL show the power of advanced manufacturing &amp; American ingenuity. https://t.co/M94bKvwAtB"
291,@tim_cook,2021-05-05 18:18:12+00:00,https://twitter.com/tim_cook/status/1390007937691619329,"This week we honor teachers for their unwavering commitment to educating and inspiring the next generation. In an unprecedented year of challenge and uncertainty, it is your wisdom, your passion and your tireless dedication that has carried us through. #TeacherAppreciationWeek"
292,@tim_cook,2021-05-03 13:59:00+00:00,https://twitter.com/tim_cook/status/1389217934875140104,"Teachers have a profound impact on students, including as role models and heroes. Proud to work with @HustonTillotson on this new initiative to increase the number of Black male teachers. Representation matters and will inspire the next generation. https://t.co/I2mzpEy0Bq"
293,@tim_cook,2021-05-01 16:12:28+00:00,https://twitter.com/tim_cook/status/1388526745406492673,To everyone heading off to college this fall — a congratulations from all of us at Apple! #NationalCollegeDecisionDay https://t.co/3EsqIwJEUa
294,@tim_cook,2021-04-27 20:22:32+00:00,https://twitter.com/tim_cook/status/1387140125256130561,"At Apple, we’ve always believed that you should be in control of your data — what you do with it &amp; who you share it with should be up to you. App Tracking Transparency in iOS 14.5 gives you the choice to share the data that’s being collected about you across apps and websites. https://t.co/EbfN8CtiKd"
295,@tim_cook,2021-04-26 20:33:06+00:00,https://twitter.com/tim_cook/status/1386780398609309698,"Amid a devastating rise of COVID cases in India, our thoughts are with the medical workers, our Apple family and everyone there who is fighting through this awful stage of the pandemic. Apple will be donating to support and relief efforts on the ground."
296,@tim_cook,2021-04-26 14:49:19+00:00,https://twitter.com/tim_cook/status/1386693881161392128,"As we look toward recovery &amp; rebuilding, Apple is investing $430B in US innovation and manufacturing along with 20K new jobs across the country over the next 5 years. The future of American innovation has never been brighter &amp; more environmentally sound. https://t.co/TTxLimSXD4"
297,@tim_cook,2021-04-22 14:47:18+00:00,https://twitter.com/tim_cook/status/1385243824390230018,"Earth Day is a reminder that the fight for our planet can’t wait and neither should we. That’s why Apple is already carbon neutral, and by 2030, our products &amp; supply chain will be too. 🌎 https://t.co/GKFRZNlPSa https://t.co/D0SY0hTZMV"
298,@tim_cook,2021-04-20 23:43:59+00:00,https://twitter.com/tim_cook/status/1384654106661310467,"Today’s verdict was just, but as Dr. King wrote: “Justice for Black people will not flow into society merely from court decisions nor from fountains of political oratory...Justice for Black people cannot be achieved without radical changes in the structure of our society.”"
299,@tim_cook,2021-04-20 18:04:46+00:00,https://twitter.com/tim_cook/status/1384568739564122114,"Say hello to the all-new iMac! 
💚💛🧡❤️💜💙🤍
https://t.co/oFiqPx7Y0S"
300,@tim_cook,2021-04-20 14:12:38+00:00,https://twitter.com/tim_cook/status/1384510323835637769,It’s a beautiful spring morning for an #AppleEvent! See you soon. https://t.co/gdiN0QXbz5
301,@tim_cook,2021-04-15 15:35:15+00:00,https://twitter.com/tim_cook/status/1382719176096116747,"Apple is proud to be carbon neutral &amp; by 2030 our products and manufacturing will be too. We take a new step today with a $200M fund to invest in working forests, one of nature’s best tools to remove carbon.🌳🌎  https://t.co/HCWyE0vbIF"
302,@tim_cook,2021-04-13 01:48:10+00:00,https://twitter.com/tim_cook/status/1381786256405721090,Wishing a safe and peaceful month of Ramadan to all those observing around the world. Ramadan Mubarak!
303,@tim_cook,2021-04-04 14:17:45+00:00,https://twitter.com/tim_cook/status/1378713402252566533,"As we look toward a spring of hope and renewal, wishing a joyous and safe Easter to everyone celebrating around the world!"
304,@tim_cook,2021-04-03 19:31:26+00:00,https://twitter.com/tim_cook/status/1378429958729527301,"Earlier this week we opened our newest store, Apple Downtown Nashville. We’re proud to continue our growth in a city so rich in education, history and creativity. https://t.co/1tOyZJMqSz"
305,@tim_cook,2021-04-01 14:03:39+00:00,https://twitter.com/tim_cook/status/1377622693261021184,"As Apple celebrates 45 years today, I’m reminded of Steve’s words from many years ago: “It’s been an amazing journey so far, yet we have barely begun.” Thanks to every member of our Apple family for all you’ve done to enrich lives. Here’s to the next 45 years &amp; beyond!"
306,@tim_cook,2021-03-31 16:54:43+00:00,https://twitter.com/tim_cook/status/1377303354414489600,"Proud to partner with our suppliers in our shared duty to protect the planet. Working together, we're avoiding 15 million metric tons of CO2e annually - the equivalent of taking 3.4 million cars off the road each year. https://t.co/N2qAiba2Il"
307,@tim_cook,2021-03-31 14:49:21+00:00,https://twitter.com/tim_cook/status/1377271805719707655,"Today, and always, we celebrate trans and gender non-conforming communities around the world &amp; acknowledge the work that needs to be done to protect trans lives. Every person should be treated with dignity &amp; respect — and free to live openly and truthfully. #TransDayOfVisibility"
308,@tim_cook,2021-03-28 01:32:25+00:00,https://twitter.com/tim_cook/status/1375984086779535361,Wishing a happy and healthy Passover to all those celebrating around the world. Chag Sameach!
309,@tim_cook,2021-03-26 23:17:38+00:00,https://twitter.com/tim_cook/status/1375587779329941508,"In poetry and conversation, @TheAmandaGorman calls on us to hope, to right enduring wrongs, and to join together in building a better world. Thank you for sharing your words with us. 🙏"
310,@tim_cook,2021-03-22 23:57:40+00:00,https://twitter.com/tim_cook/status/1374148304003473410,"Apple is committed to furthering the vital work of water conservation. Together, with our suppliers, we must protect this remarkable planet and all of its resources. 🌎 #WorldWaterDay"
311,@tim_cook,2021-03-18 17:17:26+00:00,https://twitter.com/tim_cook/status/1372598031393058817,The American Dream and Promise Act is a promise fulfilled for the over 450 Dreamers at Apple and those across this country. We urge Congress to pass legislation to provide certainty for Dreamers who rightly claim America as their home.
312,@tim_cook,2021-03-18 15:10:02+00:00,https://twitter.com/tim_cook/status/1372565969617387527,"The horrific violence against the Asian community, as evidenced by Tuesday’s murders in Georgia, calls us all to speak up and take action. We grieve for those lost and stand firmly with our Asian family. We’re supporting groups working against racism &amp; xenophobia."
313,@tim_cook,2021-03-17 14:06:46+00:00,https://twitter.com/tim_cook/status/1372187656877076489,"We all share a responsibility to fight the urgent and ongoing threat of climate change. At Apple, we are investing in solutions and new sources of clean energy, which we hope inspires others to help build a greener world with us. https://t.co/Jp327m1GVv"
314,@tim_cook,2021-03-11 05:46:00+00:00,https://twitter.com/tim_cook/status/1369887308191825921,"Ten years after the devastating tragedies in Eastern Japan on 3/11, we honor the lives lost. We stand strong with our friends &amp; colleagues in Japan and admire their resilience, courage &amp; strength. 🇯🇵"
315,@tim_cook,2021-03-08 16:57:38+00:00,https://twitter.com/tim_cook/status/1368969165973770242,@Malala @GayleKing https://t.co/Hl7mJZTyrW
316,@tim_cook,2021-03-08 16:46:13+00:00,https://twitter.com/tim_cook/status/1368966295975198720,"What a perfect way to kick off #InternationalWomensDay! @Malala, this is such exciting news! And thank you @GayleKing for the great conversation."
317,@tim_cook,2021-03-02 17:22:30+00:00,https://twitter.com/tim_cook/status/1366801098585956353,"Thanks to important insights from the Apple Hearing Study with @umichsph, we’re learning more than ever about how exposure to noise and sound levels can impact our hearing health. https://t.co/OtqehP9OjJ"
318,@tim_cook,2021-02-26 23:27:55+00:00,https://twitter.com/tim_cook/status/1365443505204596736,We’re so happy to welcome our customers in Korea to Apple Yeouido — Apple’s second store in Seoul! https://t.co/vnztqsLVvP
319,@tim_cook,2021-02-25 16:11:47+00:00,https://twitter.com/tim_cook/status/1364971361370738688,The best gift we can give young people is empowering them to be themselves. Honored to join forces with @RyanQualtrics and @DanReynolds to support the great work @encircle2gether does serving LGBTQ+ youth. Thanks @RobinRoberts for a wonderful conversation. https://t.co/6pigYU8XDE
320,@tim_cook,2021-02-24 14:10:42+00:00,https://twitter.com/tim_cook/status/1364578504809926658,"Celebrating Steve on what would have been his 66th birthday. Especially in a year where so much kept us apart, technology brought us together in limitless ways. That’s a testament to Steve’s life and the legacy he left, which continue to inspire me every day. https://t.co/4nluynVjFF"
321,@tim_cook,2021-02-23 16:18:37+00:00,https://twitter.com/tim_cook/status/1364248308781248517,"The Equality Act reflects in law the fact that every person deserves dignity &amp; respect, regardless of sexual orientation or gender identity—at work, at home and in the public square. We strongly support its passage, and we encourage Congress to come together and get it done."
322,@tim_cook,2021-02-22 15:54:35+00:00,https://twitter.com/tim_cook/status/1363879872179757058,"Proud to support the advanced manufacturing at COPAN Diagnostics, helping them scale up to ship more than 15M COVID-19 test kits to hospitals across the US and employ hundreds of people in new jobs to meet the demand. https://t.co/SlIqBkT5Ki"
323,@tim_cook,2021-02-19 04:37:15+00:00,https://twitter.com/tim_cook/status/1362622250613006342,"Our hearts are with everyone across Texas and around the US, including many of our team members, as they endure the impact of the harsh winter storms. Apple will be making a financial contribution to local, community-based organizations to support their relief efforts."
324,@tim_cook,2021-02-16 22:27:18+00:00,https://twitter.com/tim_cook/status/1361804373706244097,"Thrilled to host the first-ever Entrepreneur Camp for Black Founders and Developers. These brilliant leaders are bringing their passion, creativity, and ideas to people around the world and we can’t wait to see what they do next. https://t.co/CtU9OaWI4B"
325,@tim_cook,2021-02-15 00:05:47+00:00,https://twitter.com/tim_cook/status/1361104382729723904,The rising violence against the Asian community is a painful &amp; urgent reminder that we must unite against racism in all its forms. There is no place for hate in our society. The team at Apple stands together &amp; we will be donating to groups providing support to those affected.
326,@tim_cook,2021-02-12 20:03:57+00:00,https://twitter.com/tim_cook/status/1360318746603048960,"From our Apple family to yours, wishing you a healthy, safe and happy year of the Ox! #LunarNewYear"
327,@tim_cook,2021-02-11 20:23:16+00:00,https://twitter.com/tim_cook/status/1359961219621220352,"Shout out to @OhioState for making it easier for everyone to learn to code. They’re extending their Swift certificate program for the community, helping local businesses, students and anyone with a big idea. Let’s get coding!"
328,@tim_cook,2021-02-11 01:45:32+00:00,https://twitter.com/tim_cook/status/1359679933044326400,"Thanks @UltimateEditor for an important conversation about the power of technology to improve health and fitness, and taking the time to enjoy the great outdoors. 🏞"
329,@tim_cook,2021-02-10 15:52:56+00:00,https://twitter.com/tim_cook/status/1359530799012278272,"Moved by each episode of Time to Walk on Fitness+! This week I’m walking with Ruby Bridges, who at age 6 helped desegregate her school and is now empowering kids. She reminds us of our shared responsibility to move this country forward. “We should not ever be a hopeless people.” https://t.co/uINyu8UDVo"
330,@tim_cook,2021-02-01 14:58:06+00:00,https://twitter.com/tim_cook/status/1356255509494394882,Fighting systemic barriers to opportunity means redefining business as usual. We're thrilled to open applications to our Impact Accelerator for Black- and Brown-owned businesses addressing environmental challenges. Learn more about it here: https://t.co/yEdTYZChBF
331,@tim_cook,2021-01-29 02:12:17+00:00,https://twitter.com/tim_cook/status/1354975621911248899,"A pioneer with purpose. Cicely Tyson’s talent redefined theater, film and television. Her courage, resilience and grace changed the entertainment landscape for generations to come. May she Rest In Power. https://t.co/F3kyDpklJ0"
